matchID,allyTeamDmg,enemyTeamDmg,win
EUW1_6010635808,786365,863601,0
EUW1_6010671075,1003222,930749,0
EUW1_6010566861,774144,854832,0
EUW1_6004897266,1172686,1303438,0
EUW1_6004811319,1169003,821884,1
EUW1_6004772893,891244,863943,1
EUW1_6000749363,907841,777848,0
EUW1_5999231825,684165,540034,1
EUW1_5993028220,677360,598569,1
EUW1_5993025461,248705,317067,1
EUW1_5992487402,786824,603468,1
EUW1_5991826401,272375,422135,0
EUW1_5990137359,427162,465371,0
EUW1_5989567298,668584,736442,0
EUW1_5989583505,376210,513504,0
EUW1_5953009491,1004834,1028051,1
EUW1_5952984909,491686,541699,0
EUW1_5773105454,1466541,1063285,1
EUW1_5755885901,800943,627196,1
EUW1_5755861713,291792,412293,0
EUW1_5752684330,399004,334785,1
EUW1_5752619626,268659,164637,1
EUW1_5730984854,642202,739825,0
EUW1_5730907152,287766,403185,0
EUW1_5579817103,568026,633660,0
EUW1_5579755648,273918,401113,0
EUW1_5570089331,728293,779270,0
EUW1_5568551781,1088616,995400,0
EUW1_5565831199,488507,422747,1
EUW1_5565727569,260601,326670,0
EUW1_5565732604,460146,440410,1
EUW1_5555916264,668515,810447,0
EUW1_5535720063,809242,951228,0
EUW1_5532602984,478372,388708,1
EUW1_5532557378,397449,624237,0
EUW1_5531050894,413381,573015,0
EUW1_5526541701,726588,713969,0
EUW1_5526477675,627719,412234,1
EUW1_5521646221,542222,510279,1
EUW1_5521568561,560312,831979,0
EUW1_5521437185,543409,534710,0
EUW1_5518721753,539139,690283,0
EUW1_5518633975,667392,516398,1
EUW1_5518516890,835109,858864,1
EUW1_5518535198,21894,20387,1
EUW1_5515396626,341067,454427,0
EUW1_5515333044,404237,283346,1
EUW1_5513525381,985254,878601,0
EUW1_5513448367,828905,814499,1
EUW1_5512531367,369650,499885,0
EUW1_5511360658,665757,936570,0
EUW1_5511213872,508270,612543,0
EUW1_5504433746,737538,852246,0
EUW1_5504329765,475898,409721,1
EUW1_5498889895,708361,774161,0
EUW1_5498865369,495869,308194,1
EUW1_5498574135,630049,477268,1
EUW1_5498468495,543969,545188,0
EUW1_5498440904,1031163,1002116,1
EUW1_5490214629,466613,611791,0
EUW1_5488463739,579501,628048,0
EUW1_5488376377,845346,824738,1
EUW1_5487175534,626703,436763,1
EUW1_5487131563,573782,459198,1
EUW1_5487054911,590158,523937,1
EUW1_5486849396,650517,749472,0
EUW1_5479123605,585969,387552,1
EUW1_5479034441,1144564,920961,1
EUW1_5477832138,555193,577304,1
EUW1_5473981895,676154,555812,1
EUW1_5472624973,716017,616713,1
EUW1_5472590982,487533,337440,1
EUW1_5472556160,537604,539858,0
EUW1_5472571837,444373,527163,0
EUW1_5469708919,818798,629884,1
EUW1_5468427993,521641,364677,1
EUW1_5468219610,780224,796054,0
EUW1_5466885813,492303,370903,1
